Block comparison (size 4096 bytes)
Total blocks: 256

0x000000-0x000FFF: DIFFERENT | selected=duo_dump | CRCs: u1=E0EB6A88 u2=4FFA32F4 duo=3F0B2A03
0x017000-0x017FFF: DIFFERENT | selected=duo_dump | CRCs: u1=8F18177B u2=01A7C87B duo=83847421
0x018000-0x018FFF: DIFFERENT | selected=duo_dump | CRCs: u1=1A502940 u2=2049EE07 duo=C6E441BF
0x019000-0x019FFF: DIFFERENT | selected=duo_dump | CRCs: u1=2479A05F u2=B1323D07 duo=5ACE8215
0x01A000-0x01AFFF: DIFFERENT | selected=duo_dump | CRCs: u1=9ECA2825 u2=0470A6F4 duo=BA8640DC
0x01B000-0x01BFFF: DIFFERENT | selected=duo_dump | CRCs: u1=AB5DDEC9 u2=71CAAFBA duo=0547E114
0x01C000-0x01CFFF: DIFFERENT | selected=duo_dump | CRCs: u1=0B09D129 u2=DFF709FB duo=F3AD2C4D
0x01D000-0x01DFFF: DIFFERENT | selected=duo_dump | CRCs: u1=6EA84DCF u2=561BB45C duo=F329B3DD
0x01E000-0x01EFFF: DIFFERENT | selected=duo_dump | CRCs: u1=D6AAE9FF u2=611A0783 duo=8DB5703B
0x01F000-0x01FFFF: DIFFERENT | selected=duo_dump | CRCs: u1=97C07AB0 u2=E1A21E34 duo=67320C20
0x020000-0x020FFF: DIFFERENT | selected=duo_dump | CRCs: u1=576905B5 u2=353DB50E duo=783BD423
0x021000-0x021FFF: DIFFERENT | selected=duo_dump | CRCs: u1=BD552B4F u2=10FADF69 duo=81EF8692
0x022000-0x022FFF: DIFFERENT | selected=duo_dump | CRCs: u1=787D9639 u2=2E1D1E8B duo=175B50F8
0x023000-0x023FFF: DIFFERENT | selected=duo_dump | CRCs: u1=71E3C873 u2=25E336FE duo=6DA24834
0x024000-0x024FFF: DIFFERENT | selected=duo_dump | CRCs: u1=530CDC8C u2=0A949CF4 duo=E8003C8D
0x025000-0x025FFF: DIFFERENT | selected=duo_dump | CRCs: u1=AF5841D0 u2=D78A49DD duo=71D247A4
0x026000-0x026FFF: DIFFERENT | selected=duo_dump | CRCs: u1=B9108874 u2=AB56A3AB duo=2935BE64
0x027000-0x027FFF: DIFFERENT | selected=duo_dump | CRCs: u1=1D291646 u2=7AE95BFB duo=27544EBD
0x028000-0x028FFF: DIFFERENT | selected=duo_dump | CRCs: u1=31F77102 u2=28C6DA27 duo=6A6FC076
0x029000-0x029FFF: DIFFERENT | selected=duo_dump | CRCs: u1=14791311 u2=97377ADD duo=C5610F1F
0x02A000-0x02AFFF: DIFFERENT | selected=duo_dump | CRCs: u1=3E1FD739 u2=67A970BD duo=129FA401
0x02B000-0x02BFFF: DIFFERENT | selected=duo_dump | CRCs: u1=C1E79730 u2=E38D5999 duo=031F58CF
0x02C000-0x02CFFF: DIFFERENT | selected=duo_dump | CRCs: u1=FCBB41CA u2=B0687230 duo=4DCC7C26
0x02D000-0x02DFFF: DIFFERENT | selected=duo_dump | CRCs: u1=22662A13 u2=212C97D8 duo=90859ECC
0x02E000-0x02EFFF: DIFFERENT | selected=duo_dump | CRCs: u1=CA038A11 u2=0BB45E90 duo=A5F9310B
0x02F000-0x02FFFF: DIFFERENT | selected=duo_dump | CRCs: u1=F58BCA0F u2=64ECB87F duo=777946F2
0x030000-0x030FFF: DIFFERENT | selected=duo_dump | CRCs: u1=40828CE6 u2=60620858 duo=2CD37E89
0x031000-0x031FFF: DIFFERENT | selected=duo_dump | CRCs: u1=019207D4 u2=596CF738 duo=00F34205
0x032000-0x032FFF: DIFFERENT | selected=duo_dump | CRCs: u1=02BBAEC8 u2=B08505E9 duo=0A7CE5D6
0x033000-0x033FFF: DIFFERENT | selected=duo_dump | CRCs: u1=E152AC38 u2=97E98ECE duo=FED40C79
0x034000-0x034FFF: DIFFERENT | selected=duo_dump | CRCs: u1=DB9E86CB u2=F4AA8838 duo=9CBCDAE7
0x035000-0x035FFF: DIFFERENT | selected=duo_dump | CRCs: u1=EE507425 u2=47FC7D60 duo=F45C8C66
0x036000-0x036FFF: DIFFERENT | selected=duo_dump | CRCs: u1=19837E46 u2=656102C4 duo=CBA2A85B
0x037000-0x037FFF: DIFFERENT | selected=duo_dump | CRCs: u1=CCE68D67 u2=A38E71BF duo=5F8EFA68
0x038000-0x038FFF: DIFFERENT | selected=duo_dump | CRCs: u1=4BE1B2FE u2=FFE148E2 duo=112850E3
0x039000-0x039FFF: DIFFERENT | selected=duo_dump | CRCs: u1=C33E9521 u2=1936635A duo=79E6E965
0x03A000-0x03AFFF: DIFFERENT | selected=duo_dump | CRCs: u1=4EFE9B55 u2=E7905F51 duo=CEE11A98
0x03B000-0x03BFFF: DIFFERENT | selected=duo_dump | CRCs: u1=63FB6D91 u2=EE28D6DD duo=10BF072D
0x03C000-0x03CFFF: DIFFERENT | selected=duo_dump | CRCs: u1=6857948C u2=FA74E9FF duo=E36F46C0
0x03D000-0x03DFFF: DIFFERENT | selected=duo_dump | CRCs: u1=1ADCE21F u2=9DED2665 duo=1181469A
0x03E000-0x03EFFF: DIFFERENT | selected=duo_dump | CRCs: u1=5A788705 u2=A5CDB9A9 duo=E8A653FB
0x03F000-0x03FFFF: DIFFERENT | selected=duo_dump | CRCs: u1=57820947 u2=BBF9B331 duo=26A58B67
0x040000-0x040FFF: DIFFERENT | selected=duo_dump | CRCs: u1=9E61BEB7 u2=AE5FE045 duo=BB1BBD7B
0x041000-0x041FFF: DIFFERENT | selected=duo_dump | CRCs: u1=F5561406 u2=8D3F19A8 duo=61D9C675
0x042000-0x042FFF: DIFFERENT | selected=duo_dump | CRCs: u1=BFC8B4CE u2=934F3C59 duo=E715B1E4
0x043000-0x043FFF: DIFFERENT | selected=duo_dump | CRCs: u1=D315B14A u2=1B8EFE23 duo=47132308
0x044000-0x044FFF: DIFFERENT | selected=duo_dump | CRCs: u1=946AFD58 u2=9D056F95 duo=AA4C627E
0x045000-0x045FFF: DIFFERENT | selected=duo_dump | CRCs: u1=5B3AAB9D u2=E5AF8285 duo=694A370E
0x046000-0x046FFF: DIFFERENT | selected=duo_dump | CRCs: u1=3044E26C u2=AED18D9B duo=1FC8B2B5
0x047000-0x047FFF: DIFFERENT | selected=duo_dump | CRCs: u1=18CD93DC u2=52B27B5E duo=1B6F775E
0x048000-0x048FFF: DIFFERENT | selected=duo_dump | CRCs: u1=DBB86465 u2=6E1437DA duo=9614B3D5
0x049000-0x049FFF: DIFFERENT | selected=duo_dump | CRCs: u1=C04FE8C8 u2=0C181E23 duo=54B3F73C
0x04A000-0x04AFFF: DIFFERENT | selected=duo_dump | CRCs: u1=8AE4C00D u2=CB9F79B2 duo=B3E1071E
0x04B000-0x04BFFF: DIFFERENT | selected=duo_dump | CRCs: u1=C222609F u2=14089D5A duo=1FB96BDA
0x04C000-0x04CFFF: DIFFERENT | selected=duo_dump | CRCs: u1=4572B1EC u2=B0C6CF19 duo=2DE38D51
0x04D000-0x04DFFF: DIFFERENT | selected=duo_dump | CRCs: u1=33504598 u2=844F82AB duo=B50F7241
0x04E000-0x04EFFF: DIFFERENT | selected=duo_dump | CRCs: u1=6FD56A7D u2=D8F7EB50 duo=423591BB
0x04F000-0x04FFFF: DIFFERENT | selected=duo_dump | CRCs: u1=379627CD u2=A6D739F1 duo=EBE5FD4B
0x050000-0x050FFF: DIFFERENT | selected=duo_dump | CRCs: u1=23468E02 u2=F93DB5AE duo=45A47CD8
0x051000-0x051FFF: DIFFERENT | selected=duo_dump | CRCs: u1=B317CBFE u2=E8A45975 duo=D995E099
0x052000-0x052FFF: DIFFERENT | selected=duo_dump | CRCs: u1=6979A18E u2=6E7D1539 duo=1D3F9EFC
0x053000-0x053FFF: DIFFERENT | selected=duo_dump | CRCs: u1=44FFD17F u2=55DAFD09 duo=5D06339D
0x054000-0x054FFF: DIFFERENT | selected=duo_dump | CRCs: u1=1D46E3AF u2=D4427B3E duo=AEDDA886
0x055000-0x055FFF: DIFFERENT | selected=duo_dump | CRCs: u1=14CC3893 u2=4A37B0A6 duo=B5767753
0x056000-0x056FFF: DIFFERENT | selected=duo_dump | CRCs: u1=749DFE21 u2=A0794491 duo=9B184B1F
0x057000-0x057FFF: DIFFERENT | selected=duo_dump | CRCs: u1=302FAE99 u2=DA79EA04 duo=EFA6BD89
0x058000-0x058FFF: DIFFERENT | selected=duo_dump | CRCs: u1=B5E8F47E u2=BB2EDB2D duo=92AC5B18
0x059000-0x059FFF: DIFFERENT | selected=duo_dump | CRCs: u1=84E97465 u2=0341C104 duo=97A8897A
0x05A000-0x05AFFF: DIFFERENT | selected=duo_dump | CRCs: u1=15F4BD4F u2=67F9C9F9 duo=D056D094
0x05B000-0x05BFFF: DIFFERENT | selected=duo_dump | CRCs: u1=48449C0A u2=637E2255 duo=C565E3FA
0x05C000-0x05CFFF: DIFFERENT | selected=duo_dump | CRCs: u1=56275D08 u2=4890CAB6 duo=60EDB312
0x05D000-0x05DFFF: DIFFERENT | selected=duo_dump | CRCs: u1=D8FCA964 u2=8936FC8E duo=C2620756
0x05E000-0x05EFFF: DIFFERENT | selected=duo_dump | CRCs: u1=8F4FE1CC u2=1AA9EE84 duo=D4DBC29A
0x05F000-0x05FFFF: DIFFERENT | selected=duo_dump | CRCs: u1=00344587 u2=359C10AF duo=1BCCE5EF
0x060000-0x060FFF: DIFFERENT | selected=duo_dump | CRCs: u1=4989C88A u2=1BA80FA9 duo=1FA20A4F
0x061000-0x061FFF: DIFFERENT | selected=duo_dump | CRCs: u1=CE544939 u2=72CE29D5 duo=B885219F
